ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
"Southeastern Minnesota Arts Council, Inc.",Other,"$270,209",0,,"2778 Commerce Dr NW,  #D",,Rochester,55901-2262,Olmsted,MN
Dark and Stormy Productions,Performing Arts,"$86,023",800,0,2792 14th St NW,,Saint Paul,55112,Ramsey,MN
Gunflint Trail Historical Society/Chik Wauk Museum,History,"$192,668","8,500",,28 Moose Pond Drive,,Grand Marais,55604,Cook ,MN
DanceCo LLC,Performing Arts,"$24,200","1,100",800,2801 32nd Ave S,,Minneapolis,55406,Hennepin,MN
Fridley City Band,Performing Arts,"$4,561",400,100,2807 Garfield St NE,,Minneapolis,55418,Hennepin,MN
Eagle Bluff Environmental Learning Center,Other,"$2,103,765",974,100,28097 Goodview Drive,,Lanesboro,55949,Fillmore,MN
Park Point Community Club,Arts Multipurpose,"$47,889","12,826","1,826",2810 Minnesota Ave,,Duluth,55816,St. Louis,MN
Saint Anthony Community Theater,Performing Arts,"$23,860","1,850","1,300",2815 31st Ave NE,,Saint Anthony,55418,Hennepin,MN
Family Pathways Aging Services ProgramArts Project,Other,"$8,974",70,0,28210 Old Towne Rd ,,Chisago City,55013,Chisago,MN
"Intermedia Arts of Minnesota, Inc.",Arts Multipurpose,"$1,237,701","14,296",0,2822 Lyndale Ave S,,Minneapolis,55408-2108,Hennepin,MN
Givens Foundation for African American Literature,Literary & Arts,"$321,012 ",0,,2822 Lyndale Avenue South,,Minneapolis,55408-2108,Hennepin,MN
Northrop Auditorium Regents of the U of M,Performing Arts,"$8,016,529","346,800","34,800",2829 University Ave SE,,Minneapolis,55414-3279,Hennepin,MN
Mixed Precipitation,Performing Arts,"$77,041","2,670",170,2837 Colfax Ave S,PO Box 14442,Saint Paul,55114,Hennepin,MN
Saint Johns Boys Choir,Performing Arts,"$383,893","22,735","4,735",2840 Abbey Plz,,Collegeville,56321-2000,Stearns,MN
Park Theater Company,Performing Arts,"$20,791",500,115,2840 Cavell Ave S,,Saint Louis Park,55426,Hennepin,MN
Saint Johns University Performing Arts ,Arts Multipurpose,"$643,577","7,800","1,100",2850 Abbey Plz,,Collegeville,56321-2000,Stearns,MN
"Staples Area Mens Chorus, Inc.",Performing Arts,"$141,089","2,395",575,28728 Snowshoe Trail,PO Box 114,Staples,56479,Wadena,MN
Arts Consortium of Carver County,Arts Multipurpose,"$30,216","8,000",500,2892 Fairway Dr,,Chanhassen,55318,Carver,MN
University of Minnesota CrookstonArts Project,Other,"$10,664",210,130,2900 University Ave,,Crookston,56716,Polk,MN
Crookston Community Theater,Performing Arts,"$5,480",243,3,2900 University Avenue,PO Box 264,Crookston,56716-0264,Polk,MN
Itasca Community Chorus,Performing Arts,"$25,152","1,275",58,2901 Hwy 169 S,,Grand Rapids,55744,Itasca,MN
Arts Midwest,Arts Multipurpose,"$6,697,626","4,300","3,200",2908 Hennepin Ave,,Minneapolis,55408,Hennepin,MN
Soo Visual Arts Center,Visual Arts & Architecture,"$216,065","10,500",500,2909 Bryant Ave S,,Minneapolis,55408,Hennepin,MN
Jungle Theater,Performing Arts,"$1,751,470","30,250",750,2951 Lyndale Ave S,,Minneapolis,55408-2111,Hennepin,MN
Ramsey County Correctional FacilityArts Project,Other,"$15,589",70,0,297 Century Ave S,,Maplewood,55119,Ramsey,MN
Franconia Sculpture Park,Visual Arts & Architecture,"$706,732","150,000","52,500",29836 St Croix Trl,,Shafer,55074,Chisago,MN
Inver Grove Heights Community EducationArts Project,Other,"$37,020","1,210",10,2990 80th St E,,Inver Grove Heights,55076,Dakota,MN
Houston Arts Resource Council,Arts Multipurpose,"$6,000",175,25,3 Stinson Rd,,Houston,55943,Houston,MN
"History Theatre, Inc.",Performing Arts,"$1,944,222","50,000","5,400",30 10th St E,,Saint Paul,55101-2205,Ramsey,MN
Dream Songs Project,Performing Arts,"$6,300",70,10,30 22nd St W,,Minneapolis,55404,Hennepin,MN
Mississippi Strings Camp,Performing Arts,"$14,450",240,90,30 Allendale Dr ,,Saint Cloud,56301,Stearns,MN
Rochester Dance Company,Performing Arts,"$39,124","2,711","1,132",30 Civic Center Dr SE,PO Box 7262,Rochester,55903,Olmsted,MN
Greater Rochester Arts and Cultural Trust,Arts Multipurpose,"$81,386 ",0,,30 Civic Center Dr SE Ste 200,,Rochester,55904,Olmsted,MN
Albany Area Community EducationArts Project,Other,"$9,015","1,200",400,30 Forest Ave,PO Box 40,Albany,56307,Stearns,MN
City of CambridgeArts Project,Other,"$9,185",800,200,300 3rd Ave NE,,Cambridge,55008,Isanti,MN
Chisholm Public SchoolsArts Project,Other,"$10,855",334,29,300 3rd Ave SW,,Chisholm,55719,St. Louis,MN
Sacred Heart Area Historical SocietyHistory Project,History,"$35,000",0,,"300 5th Avenue, Box 462",,Sacred Heart,56285,Renville,MN
Austin Area Commission for the Arts,Performing Arts,"$625,057","21,000","5,600",300 Main St N,,Austin,55912,Mower,MN
Textile Center of Minnesota,Visual Arts & Architecture,"$985,477","82,000","2,000",3000 University Ave SE,,Minneapolis,55414,Hennepin,MN
Weavers Guild of Minnesota,Visual Arts & Architecture,"$295,953","16,000",0,3000 University Ave SE,,Minneapolis,55414,Hennepin,MN
Three Rivers Park District ,History,"$307,788","6,500","2,500",3000 Xenium Lane N,,Plymouth,55441,Scott,MN
Lake Superior Writers,Literary & Arts,"$32,765",250,0,301 1st St W,,Duluth,55811-2755,St. Louis,MN
Duluth Ballet/Minnesota Ballet,Performing Arts,"$896,502","8,360","3,060",301 1st St W,,Duluth,55802,St. Louis,MN
Buffalo Community EducationArts Project,Other,"$9,969",300,50,301 2nd Ave NE,,Buffalo,55313-1653,Wright,MN
Friends of the Arts,Arts Multipurpose,"$3,075",150,25,301 3rd St NE,PO Box 65,Renville,56284,Renville,MN
Austin Symphony Orchestra,Performing Arts,"$108,387","3,385","2,550",301 3rd St NW,PO Box 465,Austin,55912,Mower,MN
Walker Hackensack Akeley Community EducationArts Project,Other,"$6,370",280,80,301 4TH ST ,PO Box 4000,Walker,56484-4000,Cass,MN
Old Main Village,History,"$2,600",16,8,301 5th St S,,Mankato,56001,Blue Earth,MN
Nemeth Art Center,Arts Multipurpose,"$40,186","1,223",188,301 Court Ave,,Park Rapids,56470,Hubbard,MN
Hubbard County Historical Society,History,"$6,300",0,0,"301 Court Street, P.O. Box 327",,Park Rapids,56470,Hubbard,MN
Park Rapids Area Community EducationArts Project,Other,"$3,360",250,50,301 Huntsinger Ave,,Park Rapids,56470-1107,Hubbard,MN
Ukrainian Heritage Festival of Minnesota,Arts Multipurpose,"$13,017","1,450",250,301 Main St NE,,Minneapolis,55413,Hennepin,MN
Germanic American Institute,History,"$810,579","4,000",,301 Summit Avenue,,Saint Paul,55102,Ramsey,MN
Good Harbor Hill Players,Performing Arts,"$12,086","1,250",250,301 W 1st St,PO Box 68,Grand Marais,55604,Cook,MN
Lyon County Historical Society,History,"$100,848",0,,301 W. Lyon St.,,Marshall,56258,Lyon,MN
Ely Artwalk,Visual Arts & Architecture,"$6,813","3,097",97,301 West Sherldan Street,PO Box 132,Ely,55731,St. Louis,MN
Jawaahir Dance Company,Performing Arts,"$226,161","1,650",150,3010 Minnehaha Ave S,,Minneapolis,55406,Hennepin,MN
Patricks Cabaret,Performing Arts,"$212,105",183,118,3010 Minnehaha Avenue,PO Box 8096,Minneapolis,55408,Hennepin,MN
"Zorongo Flamenco, Inc.",Performing Arts,"$205,160","3,200",600,3012 Minnehaha Ave S,,Minneapolis,55406-1932,Hennepin,MN
Partners in Praise Girls Choir,Performing Arts,"$6,250",800,200,3018 61st Ave N,,Brooklyn Center,55429,Hennepin,MN
Lockwood Theatre Company,Performing Arts,"$8,000",418,18,302 Division St S,,Northfield,55057,Rice,MN
Rock Bend Folk Festival,Performing Arts,"$44,975","15,300","1,500",302 St Julien St,,Saint Peter,56001,Nicollet,MN
String Theory Music Group,Performing Arts,"$4,650",250,50,302 St Julien St,,Saint Peter,56082,Nicollet,MN
Worthington Public Arts Commission,Arts Multipurpose,"$29,500",310,75,303 9th St,,Worthington,56187,Nobles,MN
Boys and Girls Club of Morrison CountyArts Project,Other,"$15,000",410,400,303 Broadway E,,Little Falls,56345,Morrison,MN
Tri County SchoolsArts Project,Other,"$12,000",620,120,303 Pembina Trl,,Karlstad,56732,Kittson,MN
City of AdamsArts Project,Other,"$11,875",675,75,303 West Main St.,PO Box 357,Adams,55909,Mower,MN
Huge Improv Theater,Performing Arts,"$540,911","10,250",250,3037 Lyndale Ave S,,Minneapolis,55408,Hennepin,MN
Minnesota Fishing Museum,History,"$194,991","4,417",0,304 Broadway West,,Little Falls,56345,Morrison,MN
Northfield Arts Guild,Arts Multipurpose,"$464,786","47,000","15,000",304 Division St S,,Northfield,55057-2015,Rice,MN
Cannon Valley Regional Orchestra,Performing Arts,"$8,565",200,25,304 Division St S,,Northfield,55057,Rice,MN
Northfield Troubadours,Performing Arts,"$4,415",460,60,304 Division St S,,Northfield,55057,Rice,MN
Studio ARTour,Visual Arts & Architecture,"$10,796",600,50,304 Division St S,,Northfield,55057,Rice,MN
Martin County Historical Society,History,"$160,029","1,000",200,304 E Blue Earth Avenue,,Fairmont,56031,Martin,MN
Evansville Historical Foundation/Pioneer Village,History,"$89,552",0,,304 Gran St S,PO Box 337,Evansville,56326,Douglas ,MN
Northern Community Radio KBXE ,Media & Communications,"$187,468",806,6,305 America Ave,,Bemidji,56601,Beltrami,MN
City of WinthropArts Project,Other,"$3,255",550,150,305 Main St N,,Winthrop,55396-2373,Sibley,MN
Rainy Lake Community Orchestra,Performing Arts,"$10,950","1,896",632,3057 County Rd 20,,International Falls,56649,Koochiching,MN
Cannon Falls Library,Literary & Arts,"$16,163",820,100,306 Mill St W,,Cannon Falls,55009-2045,Goodhue,MN
Jackson County Historical Society/Museum,History,"$65,137",0,0,307 N Highway 86,PO Box 238,Lakefield,56150,Jackson,MN
Waseca CountyHistory Project,History,"$55,145",0,,307 North State Street,,Waseca,56093,Waseca,MN
Meeker County Historical Society,History,"$34,797",0,,308 North Marshall Avenue,,Litchfield,55355,Meeker,MN
Right Here Commissions,Arts Multipurpose,"$15,750",400,0,308 Prince St,,Saint Paul,55101,Ramsey,MN
Small Art,Arts Multipurpose,"$7,855",175,15,308 Prince St,,Saint Paul,55101,Ramsey,MN
Springboard for the Arts,Arts Multipurpose,"$1,220,354","38,208",250,308 Prince St,,Saint Paul,55101-1437,Ramsey,MN
Jenson Dance,Performing Arts,"$18,290",180,0,308 Prince St,,Saint Paul,55101,Ramsey,MN
Nautilus Music Theater,Performing Arts,"$226,034","1,963",50,308 Prince St,,Saint Paul,55101-1437,Ramsey,MN
Minnesota Theater Alliance,Performing Arts,"$105,802","2,000",0,308 Prince St,,Saint Paul,55101,Ramsey,MN
Emerging Curators Fellowship,Visual Arts & Architecture,"$80,000","1,200",0,308 Prince St,,Saint Paul,55101,Ramsey,MN
Pequot Lakes Community Education,Performing Arts,"$64,236","7,610",520,30805 Olson St,,Pequot Lakes,56472-3094,Crow Wing,MN
Jackson Center for the Arts,Arts Multipurpose,"$2,140",500,65,309 2nd St,PO Box 94,Jackson,56143,Jackson,MN
Leech Lake Band of Ojibwe Ball Club Community CenterArts Project,Other,"$5,714",28,10,30995 Arctic Rd,,Deer River,56636,Itasca,MN
"Sabathani Community Center, Inc.Arts Project",Other,"$18,153",800,200,310 38th St E,,Minneapolis,55409-1337,Hennepin,MN
CrossRoads Panorama,Performing Arts,"$15,000",58,28,310 East 38th Street,PO Box 26054,Saint Louis Park,55426,Hennepin,MN
City of Norwood Young AmericaHistory Project,History,"$6,300",0,,310 Elm Street W,P.O. Box 59,Norwood Young America,55368,Carver,MN
Flying Foot Forum,Performing Arts,"$125,324","1,800",400,3105 Garfield Ave S,,Minneapolis,55408-2930,Hennepin,MN
Sandbox Theatre,Performing Arts,"$37,607",540,100,3109 42nd St E,,Minneapolis,55406,Hennepin,MN
Friends of the Immigration History Research CenterU of MN,History,"$64,898",0,0,311 Andersen Library 222-21st Avenue South,,Minneapolis,55455,Hennepin ,MN
New Prague Community EducationArts Project,Other,"$39,500","1,170",670,311 Columbus Ave S,,New Prague,56071,Le Sueur,MN
TubmanArts Project,Other,"$24,985",55,25,3111 1st Ave S,,Minneapolis,55408-3136,Hennepin,MN
Morgan Thorson and Company,Performing Arts,"$88,990","1,205",50,3112 10th Ave S,,Minneapolis,55407-1604,Hennepin,MN
Bonanza Education Center,Visual Arts & Architecture,"$8,972",225,125,31167 Big Stone Lake State Pk,PO Box 2601,Clinton,56278,Big Stone,MN
Watertown Mayer Community EducationArts Project,Other,"$20,000",85,55,313 Angel Ave NW,,Watertown,55388,Carver,MN
HAND in HAND Productions/Saint Paul Police Oral History Project Phase 8,History,"$10,000",0,,313 Selby Avenue,,Saint Paul,55102,Ramsey,MN
Magic Lantern Puppet Theater,Performing Arts,"$5,300",315,300,3131 17th Ave S,,Minneapolis,55407,Hennepin,MN
Cellula Artist Team,Performing Arts,"$15,400",392,139,3132 16th Ave S,,Minneapolis,55407,Hennepin,MN
Z Puppets Rosenschnoz,Performing Arts,"$194,667",100,8,3132 16th Ave S,,Minneapolis,55407,Hennepin,MN
Savage Umbrella,Performing Arts,"$47,417",665,15,3134 Lincoln St NE,,Minneapolis,55418,Hennepin,MN
Rosemount Community Band,Performing Arts,"$5,700",700,200,3135 143rd St W,,Rosemount,55068,Dakota,MN
"Paul Bunyan Playhouse, Inc.",Performing Arts,"$206,963","6,600",600,314 Beltrami Ave NW,,Bemidji,56601-3105,Beltrami,MN
Ballet Minnesota,Performing Arts,"$208,059","9,200","5,520",314 Chester St,,Saint Paul,55107,Ramsey,MN
Chamber Music Live,Performing Arts,"$27,960",575,75,314 Erickson St S,,Houston,55943,Houston,MN
Roseau Area Arts Association,Arts Multipurpose,"$3,764",345,110,31457 430th Ave,PO Box 135,Roseau,56750,Roseau,MN
Waseca County Historical Society/Center,Arts Multipurpose,"$159,895",750,250,315 2nd Ave NE,PO Box 314,Waseca,56093,Waseca,MN
Blue Earth Community EducationArts Project,Other,"$5,350",600,350,315 6th St E,,Blue Earth,56013-2006,Faribault,MN
City of Pelican RapidsArts Project,Other,"$13,420","2,250",500,315 Broadway N,,Pelican Rapids,56572,Otter Tail,MN
Pine City Area History Association,History,"$3,219",0,,"315 Main St S, Suite 170",,Pine City,55063,Pine,MN
SuperGroup,Arts Multipurpose,"$28,500",440,40,315 Main St SE,,Minneapolis,55414,Hennepin,MN
"Arts Center of Saint Peter, Inc.",Arts Multipurpose,"$135,561","6,000",500,315 Minnesota Ave S,,Saint Peter,56082,Nicollet,MN
City of Red WingHistory Project,History,"$318,336",0,,315 W 4th Street,,Red Wing,55066,Goodhue,MN
Ada Chamber of CommerceArts Project,Other,"$1,186",305,80,315 West Main Street,PO Box 1,Ada,56510,Norman,MN
Latvian Organization Association of Minnesota,Arts Multipurpose,"$14,600",90,40,3152 17th Ave S,,Minneapolis,55407,Hennepin,MN
Ten Thousand Things Theater,Performing Arts,"$652,791","6,494",215,3153 36th Ave S,,Minneapolis,55406-2126,Hennepin,MN
Frank Theatre,Performing Arts,"$258,280","3,400",200,3156 23rd Ave S,,Minneapolis,55407-1907,Hennepin,MN
Northland Community Education,Other,"$1,400",120,45,316 Main St,,Remer,56672,Cass,MN
Contempo Physical Dance,Performing Arts,"$73,812","1,500",500,3162 Park Overlook Dr,,Shoreview,55126,Ramsey,MN
Saint Thomas Oratory Jessenland,Arts Multipurpose,"$7,060",750,250,31638 Scenic Byway Rd,,Henderson,56044-3363,Sibley,MN
Afton Historical Society and Museum,History,"$40,847",0,,"3165 Saint Croix Trail South, PO Box 178",,Afton,55001,Washington,MN
Red River Childrens Chorus,Performing Arts,"$11,013",350,170,318 La Bree Ave N,,Thief River Falls,56701,Pennington,MN
Rochester Art Ensemble,Arts Multipurpose,"$19,268",865,460,319 5th Ave NW,,Rochester,55901,Olmsted,MN
Gaylord Area Chamber of CommerceArts Project,Other,"$9,000","1,562",188,319 West Main Street,PO Box 987 ,Gaylord,55334,Sibley,MN
Yellow Tree Theatre,Performing Arts,"$472,935","12,750",250,320 5th Ave SE,,Osseo,55369,Hennepin,MN
Menahga Area Historical Society,History,"$6,500",0,0,320 Helsinki Boulevard,PO Box 364,Menahga,56464,Wadena,MN
Crow Wing County Historical Society,History,"$64,778",0,,320 Laurel St,PO Box 722,Brainerd,56401,Crow Wing,MN
Minnesota State University Mankato/Music Performance Series,Performing Arts,"$104,870","10,300",800,320 Maywood Ave,,Mankato,56001,Blue Earth,MN
Le Sueur County Fair,Arts Multipurpose,"$2,300","2,525",225,320 S Plut Ave,,Le Center,56057,Le Sueur,MN
WACOSAArts Project,Other,"$7,343",207,0,320 Sundial Drive,PO Box 757,Waite Park,56387,Stearns,MN
Powderhorn Porchfest,Performing Arts,"$9,000","1,500",300,3201 17th Ave S,,Minneapolis,55407,Hennepin,MN
Mill City Summer Opera,Performing Arts,"$648,820","2,750",250,3208 Lake St W,,Minneapolis,55416,Hennepin,MN
"Willmar Community Theatre, Inc.",Performing Arts,"$273,786",793,11,321 4th St SW,,Willmar,56201,Kandiyohi,MN
Willmar Area Arts Council,Arts Multipurpose,"$53,182","4,250",250,321 4th Street Southwest,PO Box 165,Willmar,56201,Kandiyohi,MN
Faribault Art Center Inc.,Arts Multipurpose,"$421,894","16,000","3,247",321 Central Ave N,,Faribault,55021,Rice,MN
"Merrick, Inc.Arts Project",Other,"$62,316",15,0,3210 Labore Rd,,Vadnais Heights,55110,Ramsey,MN
Wicked Questions,Arts Multipurpose,$70,"1,300",800,3216 31st Ave S,,Minneapolis,55406,Hennepin,MN
Hero Now Theatre,Performing Arts,"$16,396",325,25,3216 33rd Ave NE,,Saint Anthony,55418,Hennepin,MN
Ann Bickle Heritage House,History,"$2,200",0,0,321--8th Ave. SE,c/o Sharon Larson,Glenwood,56334,Pope,MN
Johanna Shores,Performing Arts,"$52,302",100,0,3220 Lake Johanna Blvd,,Arden Hills,55112,Ramsey,MN
City of AppletonHistory Project,History,"$72,000","1,300",500,323 W Schlieman Ave,,Appleton,56208,Swift,MN
Meander Art Crawl,Visual Arts & Architecture,"$39,096","4,600",250,323 W Schlieman Ave,,Appleton,56208,Swift,MN
Friends of Christ Church Lutheran History Project,History,"$265,100",0,,3244 34th Ave S,,Minneapolis,55406,Hennepin,MN
Blue Earth Valley Concert Association,Performing Arts,"$25,125",450,25,32444 180th St,,Winnebago,56098,Faribault,MN
"Colla Voce Choir, Inc.",Performing Arts,"$3,900",800,500,325 2nd Ave NE,,Staples,56479,Todd,MN
Central MN Task Force for Battered Women/AnnaMaries Alliance  Artist Residency,Other,"$3,500",60,30,"325 33rd Ave N, Ste 105",,Saint Cloud,56302,Stearns,MN
Musicorum,Performing Arts,"$12,720",230,25,325 Gull Path,,Mankato,56001,Blue Earth,MN
Cultural Diversity Network of Owatonna,Arts Multipurpose,"$8,400","2,500","1,500",325 Meadow Lane,PO Box 1015,Owatonna,55060,Steele,MN
New London Clay Center,Visual Arts & Architecture,"$9,270",21,3,326 Main Street South,PO Box C,New London,56273,Kandiyohi,MN
Sleepy Eye Area Concertina Club,Performing Arts,"$5,658",284,20,32667 270th St,,Sleepy Eye,56085,Brown,MN
City of VirginiaHistory Project,History,"$11,290",0,,327 First Street South,,Virginia,55792,St. Louis,MN
Twin Cities Stepper Association,Performing Arts,"$5,000",500,100,328 Fuller Ave,,Saint Paul,55103,Ramsey,MN
Wheels Across the Prairie Museum,History,"$37,321",0,,3297 US Hwy 14,PO Box 1091,Tracy ,56175,Lyon,Mn
Laura Ingalls Wilder Museum and Tourist Center,History,"$196,488","13,500",0,330 - 8th St,,Walnut Grove,56180,Redwood,MN
Theatre Novi Most,Performing Arts,"$97,308","1,600",500,330 21st Ave S,,Minneapolis,55455,Hennepin,MN
Radio K University of MN TC/KUOM AM/ FM ,Media & Communications,"$187,468",331,0,330 21st Avenue South,,Minneapolis,55455,Hennepin,MN
Century College,Visual Arts & Architecture,"$74,510",560,60,3300 Century Ave N,,White Bear Lake,55110,Washington,MN
Glensheen,History,"$1,272,000","106,792",,3300 London Rd,,Duluth,55804,St. Louis,MN
Cormorant Area Art Club,Visual Arts & Architecture,"$3,350",50,0,3303 7th Ave N,,Moorhead,56560,Clay,MN
BodyCartography Project,Performing Arts,"$77,504","3,250",250,3304 24th St E,,Minneapolis,55406,Hennepin,MN
Maggie Bergeron and Company,Arts Multipurpose,"$12,180",205,80,3309 46th Ave S,,Minneapolis,55406,Hennepin,MN
Collective Unconscious Performance,Performing Arts,"$11,600",260,0,3315 34th Ave S,,Minneapolis,55406,Hennepin,MN
Kittson County Historical Society,History,"$121,549",0,,332 E Main St,,Lake Bronson,56734-0100,Kittson,MN
Friends of the Wirtanen Pioneer Farm,History,"$10,463",0,,3322 Vermillion Trail,,Makinen,55763,Saint Louis,MN
Betsy Tacy Society/House,History,"$43,869",600,150,333 Center St,PO Box 94,Mankato,56002,Blue Earth,MN
Todd County Historical Society,History,"$9,954",0,,333 Central Avenue,,Long Prairie,56347,Todd,MN
Weisman Art Museum Regents of the U of M,Visual Arts & Architecture,"$7,490,665","90,500","2,000",333 East River Rd,,Minneapolis,55455-0367,Hennepin,MN
Cleveland Neighborhood AssociationArts Project,Other,"$22,352","9,000","3,000",3333 Penn Avenue North,PO Box 11635,Minneapolis,55411,Hennepin,MN
Youth Performance Company,Performing Arts,"$551,050","10,283","8,536",3338 University Ave SE,,Minneapolis,55414-3468,Hennepin,MN
"Show Choirs of Bemidji, Inc.",Performing Arts,"$88,176 ",0,,3345 River Park Ct NE,,Bemidji,56601,Beltrami,MN
Goodridge Veterans Memorial ParkArts Project,Other,"$9,304",550,150,33501 130th St NE,,Goodridge,56725,Pennington,MN
Isanti County Historical Society,History,"$117,300","26,000","1,000",33525 Flanders Street NE,,Cambridge,55008-4157,Isanti,MN
Community Celebration of Place,Arts Multipurpose,"$137,602","5,300","1,225",3357 36th Ave S,,Minneapolis,55406,Hennepin,MN
"Perspectives, Inc.Arts Project",Other,"$6,280",72,42,3381 Gorham Ave,,Saint Louis Park,55426,Hennepin,MN
HistoryAlive! Lanesboro,Arts Multipurpose,"$6,000",550,100,33949 Golden Dr,,Lanesboro,55949,Fillmore,MN
Blue Earth County Fair AssociationArts Project,Other,"$6,090",700,200,340 Fairgrounds St,PO Box 284,Garden City,56034,Blue Earth,MN
White Page,Visual Arts & Architecture,"$34,893",400,50,3400 Cedar Ave S,,Minneapolis,55407,Hennepin,MN
Mad Munchkin Productions,Performing Arts,"$8,175",180,30,3407 24th Ave S,,Minneapolis,55406,Hennepin,MN
Walnut Grove Community Club,Arts Multipurpose,"$19,571","3,600","1,600",341 Washington St,,Walnut Grove,56180,Redwood,MN
Universal Dance Destiny,Performing Arts,"$55,075",400,100,3422 Douglas Dr N,,Crystal,55422,Hennepin,MN
Duniya Drum and Dance,Performing Arts,"$47,741",325,25,3423 Nicollet Ave,,Minneapolis,55408,Hennepin,MN
Henderson Heritage Days,Performing Arts,"$3,200",200,100,34235 300th St,,Henderson,56044,Sibley,MN
New Ruckus,Performing Arts,"$6,690",250,40,3425 33rd Ave S,,Minneapolis,55406,Hennepin,MN
MNKINO,Media & Communications,"$10,180",300,50,3435 Blaisdell Ave,,Minneapolis,55408,Hennepin,MN
Marshall Community ServicesArts Project,Other,"$3,000","13,680","3,092",344 Main St W,,Marshall,56258-1313,Lyon,MN
ColliDe Theatrical Dance Company/COLLIDE Theatrical,Performing Arts,"$78,410","1,100",300,345 13th Ave NE,,Minneapolis,55413,Hennepin,MN
Theatre Latté Da,Performing Arts,"$1,686,236","22,900",400,345 13th Ave NN,,Minneapolis,55413,Hennepin,MN
Boys and Girls Clubs of Central MinnesotaArts Project,Other,"$23,751",100,100,345 30th Ave N,,Saint Cloud,56303-3755,Stearns,MN
Red Bird Theatre,Performing Arts,"$25,035",430,30,345 Chester St,,Minneapolis,55419,Hennepin,MN
Minnesota Historical Society,History,"$57,205,389","1,166,952","191,013",345 Kellogg Boulevard West,,Saint Paul,55102-1903,Ramsey,MN
Ordway Center for the Performing Arts,Performing Arts,"$18,552,300","263,800","63,800",345 Washington St,,Saint Paul,55102-1419,Ramsey,MN
Corcoran Neighborhood OrganizationArts Project,Other,"$10,793","60,000","10,000",3451 Cedar Ave,,Minneapolis,55407-2336,Hennepin,MN
Technical Tools of the Trade,Performing Arts,"$40,718",250,150,3451 Wilshire Pl NE,,Minneapolis,55418,Hennepin,MN
Twin Cities Tap Festival,Performing Arts,"$47,069","1,100",300,3455 Blaisdell Ave,,Minneapolis,55408,Hennepin,MN
New Arab American Theatre Works,Performing Arts,"$39,900","1,050",50,3459 Tyler St NE,,Minneapolis,55418,Hennepin,MN
Show Art Gallery,Visual Arts & Architecture,"$19,650","4,040",40,346 Sibley St N,,Saint Paul,55101,Ramsey,MN
Minnesota Guitar Society,Performing Arts,"$54,267","1,500",100,347 East 36th Street,PO Box 14986,Minneapolis,55414,Hennepin,MN
Northeast Youth and Family ServicesArts Project,Other,"$14,810",32,12,3490 Lexington Ave N,,Shoreview,55126,Ramsey,MN
Dodge Center Economic Development AuthorityArts Project,Other,"$4,902",275,100,35 East Main Street,PO Box 430,Dodge Center,55927,Dodge,MN
Hill Farm Historical Society/Historic Farm of James J. Hill/North Oaks Farm/Hill Farm National Historic Site,History,"$18,286",555,240,35 Hill Farm Circle,,North Oaks,55127,Ramsey,Mn
Saint Stefan Romanian Orthodox ChurchHistory Project,History,"$32,290",0,,350 5th Avenue N.,,South Saint Paul,55075-0453,Dakota,MN
City of MinneapolisArts,Other,"$567,005 ",0,,350 South 5th Street,,Minneapolis,55415,Hennepin ,MN
"Upstream Arts, Inc.",Arts Multipurpose,"$623,259","3,300","1,200",3501 Chicago Ave S,,Minneapolis,55407,Hennepin,MN
Pillsbury House Theater/Pillsbury United Communities,Performing Arts,"$1,244,969","18,000","2,000",3501 Chicago Ave S,,Minneapolis,55407,Hennepin,MN
Poetry for People,Literary & Arts,"$6,500",220,45,3505 11th Ave S,,Minneapolis,55407,Hennepin,MN
Ethnic Dance Theatre,Performing Arts,"$96,520",830,80,3507 Clinton Ave,,Minneapolis,55408-4577,Hennepin,MN
Great Lakes Aquarium/Lake Superior Center,Other,"$2,330,187","144,193","70,000",353 Harbor Drive,,Duluth,55802,Saint Louis,MN
River Arts Alliance,Arts Multipurpose,"$12,500",70,50,"3533, 207 Lafayette St,",PO Box 992,Winona,55987,Winona,MN
Lyndale Neighborhood AssociationArts Project,Other,"$67,780","6,380",700,3537 Nicollet Ave S,,Minneapolis,55408,Hennepin,MN
Bakken Museum,Other,"$2,621,584","35,000","30,000",3537 Zenith Avenue South,,Minneapolis,55416,Hennepin ,MN
Off Leash Area Contemporary Performance Works,Arts Multipurpose,"$16,320",230,0,3540 34th Ave S,,Minneapolis,55406-2733,Hennepin,MN
Crosslake Area Historical Society Museum/Historic Village,History,"$14,346",0,,35404 Co Rd 3,,Crosslake,56442,Crow Wing,MN
Onamia Community EducationArts Project,Other,"$7,500",175,75,35465 125th Ave,,Onamia,56359-2944,Mille Lacs,MN
Onamia Public SchoolsArts Project,Other,"$5,598",250,125,35465 125th Ave,,Onamia,56359-2944,Mille Lacs,MN
Fred Yiran Legacy Project,Arts Multipurpose,"$8,905",950,350,355 4th Ave NE,,Waite Park,56387,Stearns,MN
Minnesota State University Mankato/Department of Anthropology History Project,History,"$19,983",0,,358 Trafton Science Center North,,Mankato,56001,Blue Earth,MN
USA Community Chorus,Performing Arts,"$28,500",790,500,3593 75th St,,Swanville,56382,Morrison,MN
